DateTime,AddedIPs,RemovedIPs
1582484423,25,55
1582485370,10,6
1582486083,72,1
1582486212,511,0
1582486924,40,99
1582487297,6,6
1582488605,174,59
1582489209,11,1
1582490524,209,77
1582491124,11,6
1582491719,141,40
1582493062,7,8
1582493104,132,1
1582494964,12,7
1582496891,319,158
1582497723,158,99
1582498894,1,8
1582499643,149,66
1582500735,11,7
1582501218,94,109
1582502652,108,0
1582502850,55,43
1582504586,8,5
1582504924,75,98
1582506503,5,4
1582506603,53,45
1582508415,7,3
1582509365,100,95
1582510344,12,5
1582510505,31,50
1582511283,25,1
1582512258,8,3
1582512603,29,105
1582514171,8,7
1582515004,64,104
1582516111,29,21
1582516564,20,0
1582518009,8,4
1582518855,66,130
1582519935,8,5
1582521867,71,82
1582522924,58,102
1582523793,10,7
1582524026,44,44
1582525688,6,6
1582526419,75,92
1582527632,65,56
1582529567,76,10
1582530016,72,107
1582531458,9,6
1582532044,161,53
1582533380,4,2
1582533724,127,102
1582535296,9,7
1582535404,125,38
1582537212,15,5
1582537323,128,97
1582539149,11,6
1582539243,108,51
1582541047,3,6
1582541748,175,114
1582542973,9,400
1582544906,159,136
1582545318,50,31
1582546813,656,0
1582547918,117,112
1582548726,9,9
1582549041,45,15
1582550665,13,7
1582551757,137,122
1582552566,12,9
1582553643,114,34
1582554503,15,9
1582555511,316,565
1582556411,8,12
1582556870,55,83
1582558358,6,6
1582560254,46,75
1582560843,103,84
1582561683,62,0
1582562173,11,5
1582563306,111,87
1582564107,16,4
1582564806,90,53
1582565282,39,0
1582566015,8,6
1582567933,10,4
1582568043,156,141
1582568883,34,0
1582570112,52,92
1582570973,53,40
1582572006,15,4
1582572317,74,0
1582573932,6,2
1582574163,129,91
1582575860,69,51
1582576210,0,768
1582577104,68,103
1582577773,16,8
1582578604,267,50
1582579688,20,7
1582580848,282,95
1582581624,15,4
1582582203,153,52
1582583528,11,7
1582584311,94,1
1582585459,144,105
1582586106,73,83
1582587386,20,5
1582587616,117,103
1582589305,136,0
1582589703,157,49
1582591212,7,10
1582591325,91,91
1582593159,16,5
1582595051,268,150
1582595762,61,0
1582596977,21,8
1582598903,136,128
1582600810,5,3
1582601421,183,122
1582602725,8,6
1582603805,132,71
1582604665,22,6
1582605004,62,57
1582606565,19,5
1582608491,175,79
1582609323,100,74
1582610420,19,6
1582610572,75,47
1582612334,6,2
1582613118,127,95
1582614497,36,6
1582614918,54,54
1582615683,49,0
1582616408,16,2
1582617003,56,78
1582618339,10,7
1582620251,138,63
1582620963,90,112
1582622410,14,10
1582622883,91,57
1582624352,10,2
1582624830,75,142
1582626262,80,7
1582627218,49,110
1582628165,18,8
1582629002,75,51
