DateTime,AddedIPs,RemovedIPs
1579887150,151,87
1579894349,122,113
1579901782,115,146
1579908508,119,120
1579916189,105,123
1579923379,127,104
1579930581,79,122
1579938505,102,107
1579945712,151,72
1579952909,98,94
1579960838,122,96
1579968028,105,120
1579975220,102,91
1579983131,102,77
1579990334,80,115
1579997781,110,108
1580005206,84,112
1580012414,117,117
1580019671,98,82
1580027533,119,75
1580034732,70,111
1580041931,114,97
1580049132,121,99
1580056345,93,115
1580063546,85,111
1580070747,169,86
1580078965,101,119
1580085366,102,162
1580092567,105,100
1580099767,122,128
1580106967,99,102
1580114411,109,97
1580121862,92,106
1580129066,130,61
1580136265,72,111
1580143468,147,65
1580151389,92,125
1580158581,119,83
1580165537,76,114
1580172978,110,172
1580180179,128,126
1580187628,119,125
1580194853,100,82
1580202744,113,101
1580209944,116,129
1580217146,115,80
1580224118,102,103
1580231550,138,81
1580239218,96,81
1580246419,79,152
1580253630,83,131
1580261546,116,130
1580268742,146,169
1580275943,179,88
1580283245,86,119
1580290568,104,94
1580297771,89,118
1580304982,131,95
1580312905,112,123
1580320830,108,104
1580328031,109,148
1580335232,140,107
1580343156,94,137
1580350346,153,131
1580358261,118,162
1580365463,119,93
1580372680,81,77
1580380580,86,92
1580388025,127,79
1580395463,98,119
1580402186,92,89
1580409627,105,84
1580417068,97,113
1580424502,95,133
1580432409,102,102
1580439367,108,93
1580446567,125,128
1580453779,101,97
1580461702,80,117
1580468907,96,101
1580476354,125,88
1580484261,138,105
1580491704,110,124
1580499139,124,89
1580506353,112,130
1580514262,104,127
1580521464,118,123
1580528180,95,148
1580535384,141,100
1580542821,114,89
1580550259,92,113
1580557944,91,116
1580565379,138,96
1580572581,124,98
1580579782,103,212
1580586984,218,83
1580594920,119,138
1580602347,113,142
1580609546,99,148
1580617460,121,150
1580623980,160,124
1580632585,159,80
1580639786,97,100
1580646980,99,163
1580654180,201,78
1580661381,91,91
1580669063,74,102
1580676262,100,109
1580683707,81,145
1580691613,114,100
1580698820,126,126
1580706024,108,121
1580713946,114,113
1580721148,110,119
1580729061,129,135
1580736261,117,82
1580742767,83,132
1580750662,143,87
1580757863,123,113
1580765783,93,135
1580772970,141,112
1580780187,101,141
1580787874,135,140
1580794586,114,150
1580802490,116,101
1580809925,129,106
1580817129,101,142
1580824837,175,112
1580832256,83,103
1580839691,131,86
1580847162,103,86
1580854335,86,119
1580861550,112,122
1580868752,104,104
1580876665,156,152
1580884570,92,122
1580891772,127,84
1580898969,79,129
1580906893,112,90
1580914095,92,92
1580921292,134,72
1580928494,97,148
1580936178,141,138
1580943382,119,140
1580950833,120,145
1580958744,141,164
1580965947,142,127
1580973148,162,126
1580980348,134,74
1580987552,82,125
1580995452,124,73
1581002901,80,89
1581010367,124,75
1581018262,95,159
1581025701,120,139
1581032908,100,133
1581040105,108,114
1581048023,155,195
1581055231,143,105
1581063143,117,100
1581070343,131,127
1581078261,109,178
1581085461,162,82
1581092667,106,122
1581100583,121,107
1581107785,145,90
1581114980,74,129
1581122180,111,110
1581129382,114,175
1581136822,117,149
1581144269,145,101
1581151461,119,88
1581158661,99,127
1581166578,123,85
1581173784,103,92
1581180981,121,106
1581188910,146,94
1581196342,72,128
1581203546,130,94
1581210743,103,145
1581218662,111,142
1581225865,138,113
1581233061,78,98
1581240266,98,85
1581248181,105,107
1581255383,139,101
1581262581,124,142
1581270502,124,114
1581277707,130,94
1581285381,119,121
1581292107,106,105
1581300750,115,110
1581307953,95,177
1581315145,145,145
1581322820,144,98
1581329549,91,111
1581337465,103,78
1581344664,124,92
1581351878,76,134
1581359782,137,103
1581366980,123,95
1581374182,76,129
1581381385,84,92
1581389300,97,104
1581396504,120,152
1581403704,110,120
1581411151,129,103
1581418579,108,96
1581425779,108,119
1581432981,142,105
1581440904,110,165
1581448111,184,102
1581455312,96,99
1581462515,84,150
1581470436,105,128
1581477618,120,127
1581485552,81,144
1581492264,112,92
1581500169,116,84
1581507370,105,96
1581515302,115,79
1581522022,98,136
1581529700,136,98
1581536905,115,97
1581544120,91,130
1581552022,81,151
1581559211,147,115
1581559962,38,38
1581566003,38,38
1581566897,137,144
1581574098,103,123
1581582006,119,106
1581589238,99,85
1581596419,87,155
1581604333,168,112
1581611559,121,94
1581618732,106,125
1581625934,157,114
1581633369,112,123
1581640597,85,108
1581648487,99,112
1581655449,82,1576
1581662652,1068,83
1581670566,193,182
1581677766,169,127
1581684968,174,108
1581692171,176,138
1581699611,152,127
1581707778,134,126
1581714504,130,130
1581721711,137,111
1581729620,125,111
1581736353,152,170
1581744261,171,125
1581751462,129,114
1581759381,119,131
1581766581,136,110
1581774503,133,111
1581781703,124,123
1581788908,136,117
1581796826,148,118
1581804511,104,143
1581811946,98,127
1581819927,109,148
1581823117,91,64
1581826834,64,91
1581827660,187,125
1581834747,97,107
1581842664,99,111
1581849861,128,123
1581857064,132,136
1581864270,134,97
1581872179,147,135
1581879383,126,131
1581886580,144,135
1581894510,134,130
1581901702,113,146
1581908916,118,122
1581916818,119,112
1581924019,117,114
1581931947,131,94
1581939146,84,136
1581947066,158,89
1581954269,108,123
1581961710,132,124
1581968910,136,79
1581976353,100,114
1581983791,81,94
1581991235,109,142
1581999155,130,196
1582006352,139,117
1582013571,130,108
1582021467,151,95
1582028669,102,116
1582036589,141,106
1582044507,110,92
1582051704,103,132
1582058909,109,111
1582066581,115,124
1582074025,113,200
1582081232,182,128
1582088433,138,132
1582095635,107,121
1582103797,116,115
1582111219,106,112
1582119152,130,101
1582126345,115,131
1582133546,166,109
1582140749,126,78
1582148661,87,122
1582155385,106,95
1582162583,92,126
1582170023,149,122
1582177466,108,147
1582184667,103,101
1582192578,104,103
1582199778,101,98
1582206980,120,132
1582214906,142,154
1582222115,146,122
1582229542,144,131
1582236745,109,148
1582244664,126,129
1582251863,117,111
1582259300,152,125
1582266747,116,123
1582274182,123,121
1582281385,127,111
1582289306,102,110
1582296520,137,125
1582303707,112,108
1582310901,129,97
1582318106,101,119
1582325310,110,111
1582333223,101,104
1582340423,100,121
1582347633,127,111
1582355542,99,91
1582362993,117,95
1582370422,107,103
1582377621,111,118
1582385550,122,94
1582392743,103,93
1582399945,103,99
1582407144,91,123
1582414582,113,111
1582422502,110,109
1582429707,123,119
1582437644,89,178
1582445543,151,94
1582453493,111,88
1582459971,100,85
1582467860,116,90
1582475785,100,106
1582483701,123,95
1582490904,118,95
1582498899,92,129
1582506742,107,147
1582514664,105,153
1582521870,169,119
1582529782,119,107
1582536982,95,69
1582544910,82,108
1582551717,118,103
1582559058,104,145
1582566261,144,92
1582573702,117,119
1582580904,115,106
1582588827,102,120
1582596027,92,83
1582603950,95,115
1582611142,98,110
1582618343,97,111
1582625545,112,111
